Artist Name,Location,Song Title,Sounds Like,Social Link,SoundCloud Link,Played on triple J,Played on Unearthed,Release Date,Primary Genre,Unearthed_Genre_Raw,Bandcamp_Source_Mode,Bandcamp_Search_Domain,Date Added,Email
bad-neighbour,"Brisbane, QLD",Rush Apart,"The Menzingers, Sorority Noise, Microwave, The Front Bottoms, Against Me!",https://www.facebook.com/Badneighb0ur/?ref=bookmarks | https://www.youtube.com/watch?v=JO3TO6mVLsE | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,30 Mar 2026,Indie,Indie / Punk / Rock,,,2026-04-02,
rusty-the-bucketheads,"Illawarra, NSW",Made You My Love,"The Stooges, Velvet Underground, Pixies and Nirvana",https://www.instagram.com/rusty_and_the_bucketheads/ | https://www.tiktok.com/@rustyandthebucketheads | https://www.youtube.com/channel/UCttUWKXyBXDPSxbmLBXWeNg | https://open.spotify.com/artist/4ggpph31mtvHQu3kjF9iAs?si=swPLzB96Q0C77l-FDur-3w | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,28 Mar 2026,Punk,Punk / Rock / Indie,,,2026-04-02,
lazy-eyes,"Sydney, NSW",The One Who Got Away,music,https://www.instagram.com/thelazyeyesband/ | https://www.facebook.com/thelazyeyesband/ | https://twitter.com/TheLazyEyesband | https://www.tiktok.com/@thelazyeyesband? | https://www.youtube.com/thelazyeyes | https://open.spotify.com/artist/5ZCOgPpZNvlJEBnUZnDqW8 | https://soundcloud.com/thelazyeyesband | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,27 Mar 2026,Indie,Indie / Rock,,,2026-04-02,
bluech-c,"Melbourne , VIC",Feels Like A Crime,"Garbage, Wet Leg, Le Tigre and Goldfrapp",https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,29 Mar 2026,Rock,Rock / Punk / Indie,,,2026-04-02,
ennaria,"Sydney, NSW",ME!!,"Bring Me the Horizon, 100 Gecs, Electric Call boy, Hanabie, Underscores, Food house",https://www.instagram.com/ennar1a | https://www.tiktok.com/@ennar1a | https://www.youtube.com/@ennar1a | https://open.spotify.com/artist/0vKadOdp1SPc45oHfkZd4U?si=9pHNLMiQRbqZ_c0trD5CtQ | https://soundcloud.com/ennaria | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,31 Mar 2026,Hardcore,Hardcore / Metal / Pop,,,2026-04-02,
12-past-par,"Perth , WA",Wrapped Around,"The Driver Era, Aidan Bissett",https://www.instagram.com/12_past_par | https://www.tiktok.com/@12.past.par.band?_r=1&_t=ZS-957JIP2eZz2 | https://youtube.com/@12pastpar?si=SgTHAgNkhnhRo0iL | https://open.spotify.com/artist/2B6I4fUUAW5zo1E1p5BIwh?si=6FWZ_yxuTsiSHF-XnlvYiQ | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,30 Mar 2026,Rock,Rock / Experimental / Acoustic,,,2026-04-02,
sweatbaby,"Sydney, NSW",MUSIC 2 MY EARS w/ Robert Baxter,"Mallgrab, Ninajirachi, Malugi, Notion, DJ Heartstring, Club Angel, Juicy Romance",https://www.instagram.com/sweatbabyyy/ | https://www.tiktok.com/@sweatbabyyyy | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,21 Mar 2026,Dance,Dance / Electronic,,,2026-04-02,
fan-girl,"Melbourne, VIC",Echo Grey,,https://www.instagram.com/fangirlmusic/ | https://www.facebook.com/fangirlsounds/ | https://twitter.com/fangirlsounds | https://www.youtube.com/c/FanGirlMusic | https://open.spotify.com/artist/5T6xZyiyC7t9IChfUHu4zt?si=g8niQplUQQWKzOYlT8AttA | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,23 Mar 2026,Indie,Indie / Punk / Rock,,,2026-04-02,
emjaysoul,"Sydney, NSW","SWINDLE DEEZ (Ft. MALI JO$E, Sollyy & Station Hayds)","J. Cole, Kenny Beats, Statik Selektah, Baby Keem and Mr. Green & Kaytranada",https://www.instagram.com/emjaysoul/ | https://open.spotify.com/artist/6BB9QdkS3bqMlzX6k5lztT?si=DgGKFM49ToCoeWU3ixBRhQ | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,17 Mar 2026,Hip,Hip-Hop / Dance / R&B,,,2026-04-02,
natalie-tanabe,"Sydney , NSW",Roadrager (Extended Version),,https://www.instagram.com/natalietanabemusic/ | https://www.tiktok.com/@natalietanabemusic | https://www.youtube.com/@natalietanabemusic | https://open.spotify.com/artist/74a6tooUCtopWIycPjMN7R | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,29 Mar 2026,Indie,Indie / Pop / Electronic,,,2026-04-02,
