Artist Name,Location,Song Title,Sounds Like,Social Link,SoundCloud Link,Played on triple J,Played on Unearthed,Release Date,Primary Genre,Unearthed_Genre_Raw,Bandcamp_Source_Mode,Bandcamp_Search_Domain,Date Added,Email
chantz,"Sydney, NSW",Miles,Little mix,https://www.instagram.com/chantz_girlgroup/?hl=en | https://www.tiktok.com/@therealchantz?is_from_webapp=1&sender_device=pc | https://youtu.be/v_vgovoc4OU?si=YDx2NvDG7kPj_RQn | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,24 Mar 2026,Pop,Pop / R&B,,,2026-03-25,
alicekings,"Alice Springs, NT",I Ain't Gammon Bruz,"Inkabee, Young Jye, Kriss Kross",https://www.instagram.com/alicekings0870/ | https://www.youtube.com/@AliceKings0870 | https://open.spotify.com/artist/4vm8jJ01kqAiT08jihDLlg?si=pJeHL-dGTW24ZmtNT58WKQ | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,9 Mar 2026,Hip,Hip-Hop,,,2026-03-25,
wil-skinner,"Adelaide,SA",Landscape,,https://www.instagram.com/willyeskinner?igsh=MTQwOXpudXRhMWVjMA== | https://youtube.com/@wilskinnerandmusicyeahyeah?si=EpH4zlkoczygCbSz | https://open.spotify.com/artist/6qRQHjgp42SsQpiTqvpgGF?si=vkdcjkvYTOemJDM6NreGRg | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,23 Mar 2026,Rock,Rock / Pop,,,2026-03-25,
amoss-teal,"Sunshine Coast,QLD",PEPSI,"Lil Tecca, Drake, Asap Rocky, Sofaygo, Travis Scott, Playboi Carti",https://www.instagram.com/amossteal/ | https://open.spotify.com/artist/0isrl1CfVcCA6EPUxa1sIF?si=DFriV1gFQfajRGILWTcmhA | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,24 Mar 2026,Hip,Hip-Hop / Beats / Electronic,,,2026-03-25,
jski,"Brisbane, QLD",RIP,Mac miller,https://www.tiktok.com/@jski__?_r=1&_t=ZS-94wFid9ubKu | https://on.soundcloud.com/fTC9tqogxYPeIMMA3P | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,24 Mar 2026,Experimental,Experimental / Hip-Hop / Indie,,,2026-03-25,
alfie-starling-solo,"Brisbane,QLD",headcanon,"Amelie Farren, Gracie Abrams, Conan Gray, Adrianne Lenker",https://open.spotify.com/artist/7KDQgkAwNOKItwhQmHnpHq?si=g_aVIJywSduitJL1Ja0H0g | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,24 Mar 2026,Acoustic,Acoustic / Folk / Indie,,,2026-03-25,
eyeblind,"Adelaide, SA",thank you for being my friend,"lil peep, bones, xxxtentacion, spaceghostpurrp, lil tracy",https://www.instagram.com/eyeblindsucks/ | https://www.twitter.com/ripeyeblind/ | https://www.tiktok.com/@ripeyeblind | https://www.youtube.com/@ripeyeblind | https://open.spotify.com/artist/6KNyrYQRUIpusX2XbEsUHt | https://soundcloud.com/blnd | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,6 Feb 2026,Hip,Hip-Hop / Experimental / Punk,,,2026-03-25,
syrup-e,"Melbourne, VIC",i know we haven't spoken,,https://www.instagram.com/syrup___e | https://www.tiktok.com/@syrup___e?_t=8rKGRYcReYi&_r=1 | https://www.youtube.com/@syrup-E | https://open.spotify.com/artist/7llPonoewuD4VCePlxHBbY?si=N_RcDK8gRk6_q06LHsMELA | https://soundcloud.com/syrup-e | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,23 Feb 2026,Electronic,Electronic / Dance / Beats,,,2026-03-25,
emeree,"Melbourne,VIC",Prominence,"RAYE, Olivia Dean, Hiatus Kaiyote, Matt Corby, Amy Winehouse, Marvin Gaye",https://www.instagram.com/itsemereemusic/ | https://www.facebook.com/itsemeree | https://www.tiktok.com/@itsemereemusic | https://www.youtube.com/channel/UC0zrCexxMj-EKUqCLEZDrEA | https://open.spotify.com/artist/3OGgjzkamLnNDmUi9RZDG9?si=AZ1h3cCqTVCujz1DcqWgiA | https://soundcloud.com/user-517905478 | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,5 Mar 2026,Soul,Soul / R&B / Pop,,,2026-03-25,
rum-jungle,"Newcastle, NSW",Lowlife,"Great Gable, Ocean Alley, Arctic Monkeys",https://www.instagram.com/rumjungleband/ | https://www.facebook.com/rumjungleofficial/ | https://www.tiktok.com/@rumjungleband | https://www.youtube.com/@rumjungleband | https://open.spotify.com/artist/2xQ0QRK08xh3WWBf2RKpsm?si=qIG0HYINQh-qCJwZjeKgUw | https://soundcloud.com/user-159031404 | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,24 Mar 2026,Indie,Indie / Rock,,,2026-03-25,
