Artist Name,Location,Song Title,Sounds Like,Social Link,SoundCloud Link,Played on triple J,Played on Unearthed,Release Date,Primary Genre,Unearthed_Genre_Raw,Bandcamp_Source_Mode,Bandcamp_Search_Domain,Date Added,Email
trzo,"Perth, WA",Pocket Rockets,TRZO,https://www.instagram.com/terz.0/ | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,26 Mar 2026,Hip,Hip-Hop / Beats / Ambient,,,2026-03-27,
local-the-neighbour,"Melbourne,VIC",Midday Pilates,"MJ Lenderman, Hovvdy, Alex G, Slow Pulp",https://www.instagram.com/localtheneighbour/ | https://www.youtube.com/@localtheneighbour | https://open.spotify.com/artist/1sxWrNyQmTVxjoc7bohhu5?si=qkkW0pZZSSu5NFufQVwR4A | https://soundcloud.com/user-270388783?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,19 Mar 2026,Indie,Indie / Rock / Country,,,2026-03-27,
cenobia,"Sydney,NSW",Throne Of Want,"Sleep Token, Spiritbox, Deftones, Evanescence",https://www.instagram.com/cenobiaofficial/ | https://www.facebook.com/cenobiaofficial/ | https://www.tiktok.com/@cenobiaofficial | https://www.youtube.com/@CenobiaOfficial | https://open.spotify.com/artist/6RncuM8SQrNoFWTzKeloDG?si=5_1AaRcnQcKQ673en5Z4ZQ | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,29 Sep 2025,Metal,Metal,,,2026-03-27,
archie-rose,"Melbourne,VIC",BLEED OUT,"Ye (FKA Kanye West), Lustr, Death Grips, Sematary, Deftones.",https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,25 Mar 2026,Beats,Beats / Experimental / Hip-Hop,,,2026-03-27,
kaviita,"Melbourne,VIC",Love's A War,"Cleo Sol, Liv.e, Dreamer Isioma, Orion Sun, Erykah Badu",http://instagram.com/kaviitaaaaa | https://www.facebook.com/share/19BActwuev/?mibextid=wwXIfr | https://www.tiktok.com/@kaviiitaaa?_t=ZS-8wLJaSTcXai&_r=1 | https://www.youtube.com/@kaviitaaaaa | https://open.spotify.com/artist/0zlOE7nwzYpOgXnmo9zP9O?si=an1Omtj_Q36TffCdi3LHEg | https://soundcloud.com/kaviita | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,11 Mar 2026,R&B,R&B / Soul / Pop,,,2026-03-27,
kch,"Sydney,NSW",ingrained,"Last Dinosaurs, Dominic Fike, The 1975, Still Woozy, Rex Orange County",https://www.instagram.com/kylecharleshall/ | https://www.facebook.com/Kyle-Charles-Hall-100786274631030/?ref=bookmarks | https://www.tiktok.com/@kylecharleshall?lang=en | https://www.youtube.com/channel/UC-rzjHfgk1c9NkBtyd28V1Q | https://open.spotify.com/artist/46uWTUVuDzfIAfiLA8Xfgb?si=QCSnPqI6TcOpDg1In6EFfw | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,25 Mar 2026,Indie,Indie / Pop / Rock,,,2026-03-27,
jalmar,"Melbourne,VIC",Freakytona (Tyla),"Nemmz, Bad Bunny, Central Cee",https://www.facebook.com/jalmaaar/ | https://twitter.com/jalmaaar | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,25 Mar 2026,Dance,Dance / Reggaeton / Hip-Hop,,,2026-03-27,
kaybee,"Perth,WA",WEEK11 (ft. Marlowe Wilton),,https://www.instagram.com/k4ybeee | https://open.spotify.com/artist/2PIlRxTYueV3iVxYMjSu9U?si=NORWsk7LSaW9pqZZBLpo8Q | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,12 Mar 2026,Experimental,Experimental / Pop,,,2026-03-27,
makkapakka,"Gold Coast,QLD",Get Them Before They Get You (In the Bowels of Castle Wolfenstein),"Mick Gordon, Bobby Prince",https://www.youtube.com/channel/UC5qH6kgAokCtMLG0_QmcwfQ?sub_confirmation=1 | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,25 Mar 2026,Metal,Metal / Electronic / Experimental,,,2026-03-27,
ra-ra-viper,"Perth,WA",Andy's Place,"Fontaines DC, Amyl and the Sniffers, Bad Dreems,",https://www.instagram.com/ra_ra_viper_band/?hl=en | https://www.facebook.com/raraviper/ | https://www.tiktok.com/@ra.ra.viper | https://www.youtube.com/channel/UCKS6Z0894aN-cl_gWTIgmww | https://open.spotify.com/artist/0YkVmTUYQdhgxE8vek7GId?si=l-3Edc6sQSKU-pOoi8jtcA | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,25 Mar 2026,Rock,Rock / Indie,,,2026-03-27,
