Artist Name,Location,Song Title,Sounds Like,Social Link,SoundCloud Link,Played on triple J,Played on Unearthed,Release Date,Primary Genre,Unearthed_Genre_Raw,Bandcamp_Source_Mode,Bandcamp_Search_Domain,Date Added,Email
heyzuko,"Perth, WA",WISTERIA FLOWER (ft. Gun Boi Kaz),"The Kid LAROI, iann dior, midwxst, ericdoa, keshi, starfall",https://www.instagram.com/heyzuko_/ | https://www.tiktok.com/@heyzuko_ | https://www.youtube.com/channel/UCzMPTHcxt8yubkxuZoo0Ovw | https://open.spotify.com/artist/3wfEeLYSrxfsgbLHkjiBUP?si=dgiKhJ6dSN2aZjzehePa1Q | https://soundcloud.com/heyzuko | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,10 Apr 2026,Hip,Hip-Hop / Pop / R&B,,,2026-04-12,
media-puzzle,"North Coast, NSW","More Horse, Less Code",,https://www.instagram.com/mediapuz/ | https://www.youtube.com/@mediapuzzlenoise | https://open.spotify.com/artist/1JFW3ACD123onrCbzNag5Z?si=zKAwkh4aQ_WTW7QzJoDHQg | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,9 Apr 2026,Punk,Punk / Experimental / Rock,,,2026-04-12,
buggy,"Melbourne, VIC",MF,"No Rome , the 1975 , MUNA , Charlie xcx",https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,17 Mar 2026,Pop,Pop,,,2026-04-12,
chloe-parche,"Sydney, NSW",Knots,,https://www.instagram.com/chloe.parche/ | https://open.spotify.com/artist/6jCOKlQ9OBPbQgPoZ3haov?si=gt2nsbq1Tw6PDFUTNl0yvw | https://soundcloud.com/chloe-parche | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,8 Apr 2026,Indie,Indie / Pop,,,2026-04-12,
dice-3,"Perth, WA",COOLER,DICE,https://www.instagram.com/dice_theband/ | https://twitter.com/dicethebandoz | https://open.spotify.com/artist/5E5dw9k43AX9GGGEA606KC | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,3 Apr 2026,Indie,Indie / Pop / Rock,,,2026-04-12,
noisetheband,"Brisbane , QLD",A to G,"Beatles, Radiohead, Guns 'n' Roses",https://www.instagram.com/noise_the_band?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw== | https://www.facebook.com/noisetheband1/ | https://open.spotify.com/artist/00wpXLLytOOPhq8mvbxrhM?si=ax2G5uV6RGaGOaEPo54_OA | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,8 Apr 2026,Rock,Rock,,,2026-04-12,
chris-lanzon,"Sydney, NSW",Dinner Party,"Big Thief, Phoebe Bridgers, The National",https://www.instagram.com/chrislanzon/?hl=en | https://www.tiktok.com/@chrislanzonmusic?lang=en | https://www.youtube.com/channel/UCmSsrG_RtNOgoTWvN42sBTg | https://open.spotify.com/artist/42fTI1VyX5axJX1ZlPi7dS?si=2AoBhiWwR2yt8-yUaPFwcQ | https://soundcloud.com/chrislanzonmusic | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,26 Nov 2025,Indie,Indie / Pop / Folk,,,2026-04-12,
rigby,"Newcastle , NSW",Metastasise,"Ruby Fields, Rum Jungle, Spacey Jane",https://instagram.com/rigby_writes_music?igshid=MmIzYWVlNDQ5Yg== | https://www.facebook.com/profile.php?id=61554954373586&mibextid=LQQJ4d | https://www.tiktok.com/@rigby_writes_music?_t=8eXw1NSLXCa&_r=1 | https://youtube.com/channel/UCfpXHVofVImg2Z79qSI_57g?si=T1c9lkrfBOArcKc8 | https://open.spotify.com/artist/0UbdnkQR95HrbCL5RSFFTw?si=tI9C61y1Q32VayDf8sj53w | https://soundcloud.com/rigbyr?ref=clipboard&p=i&c=1&si=49BF50DE995D41C8BE71464EA8BC3D47&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,10 Dec 2024,Indie,Indie / Rock / Acoustic,,,2026-04-12,
franjapan,"Melbourne , VIC",Already There,"Spacey Jane, Rolling Blackouts C.F, The Strokes, Kings of Leon,",https://www.instagram.com/franjapann/ | https://www.facebook.com/franjapanband/ | https://www.tiktok.com/@franjapanband?lang=en | https://www.youtube.com/watch?v=QZxhnEu6Wk | https://open.spotify.com/artist/29ix5Jf7vHFGE2O83rVOph?si=uDFex39cS-iz8leUfpeUtQ | https://soundcloud.com/franjapan | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,9 Apr 2026,Indie,Indie / Pop / Rock,,,2026-04-12,
earthbound,"Melbourne , VIC",Petrichor,"Sleep Token, Spiritbox, Silent Planet, Currents",https://www.facebook.com/earthboundbandaus/?fref=ts | https://twitter.com/earthbound_aus | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,8 Apr 2026,Metal,Metal / Hardcore / Rock,,,2026-04-12,
the-screamagers,"Melbourne, VIC",Groupies have feelings too.,"L7, Teen Jesus and the Jean Teasers, Destroy Boys, Amyl and the Sniffers, Avril Lavigne, Bikini Kill, Bratmobile, The runnaways, Dazey and the Scouts",https://www.instagram.com/thescreamagers/ | https://www.tiktok.com/@the_scream_agers?_r=1&_t=zs-94aclnf9qve | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,8 Apr 2026,Punk,Punk / Rock / Pop,,,2026-04-12,
brazen-barbie,"Melbourne , VIC",Say What?,,https://instagram.com/thabrazen?igshid=MjEwN2IyYWYwYw== | https://www.tiktok.com/@brazenbarbie?_t=ZS-8t1hVgdJT7A&_r=1 | https://youtube.com/@brazenbarbiee | https://open.spotify.com/artist/7krRGwtf9BlypHPR8D9EZW?si=cBzevuijS5WkZ9cSohglGw | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,8 Apr 2026,Hip,Hip-Hop / R&B,,,2026-04-12,
the-favourite,"Sydney, NSW",Sitting Alone,"Sam Fender, Kings of Leon, Spacey Jane, Gang of Youths, Royel Otis",https://www.instagram.com/thefavouriteofficial/?hl=en | https://www.facebook.com/profile.php?id=61581069697238 | https://www.tiktok.com/@thefavouriteofficial | https://www.youtube.com/@TheFavouriteOfficial | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,9 Apr 2026,Rock,Rock / Indie / Pop,,,2026-04-12,
jaal,"Melbourne, VIC",Far From Gone,,https://www.instagram.com/unojaal/ | https://www.facebook.com/uknojaal | https://twitter.com/jaalworld | https://www.youtube.com/channel/UCRGk3Pq7rnS7hJOc5ftOlGw | https://open.spotify.com/artist/3D1HiyH3IPenXqAmNmSlLh | https://soundcloud.com/jaalworld | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,26 Mar 2026,Hip,Hip-Hop / Soul,,,2026-04-12,
patrick-romeo,"Sydney, NSW",I'M NOT OKAY (Patrick Romeo Remix),"Fred Again, Dom Dolla, Don Diablo, Skrillex",https://instagram.com/patrickromeoau | https://www.facebook.com/patrickromeoau | https://www.tiktok.com/@patrickromeoau | https://www.youtube.com/channel/UCY-WQ5QTVx7eSeWPXcyHpQg | https://open.spotify.com/artist/3w3zJDipyhfw9rK5LoHFv0?si=4aLStZTpROuaVnxNKUfqDw | https://soundcloud.com/patrickromeoau | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,10 Apr 2026,Electronic,Electronic / Dance / Pop,,,2026-04-12,
