Artist Name,Location,Song Title,Sounds Like,Social Link,SoundCloud Link,Played on triple J,Played on Unearthed,Release Date,Primary Genre,Unearthed_Genre_Raw,Bandcamp_Source_Mode,Bandcamp_Search_Domain,Date Added,Email
syrup-e,"Melbourne, VIC",i know we haven't spoken,,https://www.instagram.com/syrup___e | https://www.tiktok.com/@syrup___e?_t=8rKGRYcReYi&_r=1 | https://www.youtube.com/@syrup-E | https://open.spotify.com/artist/7llPonoewuD4VCePlxHBbY?si=N_RcDK8gRk6_q06LHsMELA | https://soundcloud.com/syrup-e | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,23 Feb 2026,Electronic,Electronic / Dance / Beats,,,2026-03-25,
whiskeyjack,"Perth, WA",Remain Strange (feat. Kiera Jas),"Lord Huron, Charley Crockett and Boy & Bear",https://www.instagram.com/whiskeyjack_music/ | https://www.facebook.com/whiskeyjackmusic | https://www.tiktok.com/@whiskeyjackmusic | https://www.youtube.com/@whiskeyjackmusic | https://open.spotify.com/artist/2ZUmEN6tqV8MTuoaBo4Qjt?si=4IK931hsQLGTSI66MfuwSQ | https://soundcloud.com/whiskeyjackmusic | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,19 Mar 2026,Indie,Indie / Folk / Country,,,2026-03-25,
late-90s,"Perth, WA",Ivy,,https://www.instagram.com/late.90s/ | https://www.facebook.com/late90sband | https://twitter.com/Late90sband | https://www.tiktok.com/@late90sband | https://www.youtube.com/channel/UC815pZIzHAB1wDCcmZoFybw | https://open.spotify.com/artist/6nm6POBqf0Jt9TDorqIrAJ?si=I_YB0x_wT_-creReOqJsGg | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,17 Mar 2026,Indie,Indie / Punk / Rock,,,2026-03-25,
feelds-0,"Melbourne,VIC",Mayhem,,https://www.instagram.com/feeldsmusic/ | https://www.facebook.com/thisisfeelds/ | https://www.youtube.com/watch?v=fZS6OEhVUL | https://open.spotify.com/artist/74W4mKE9RR576xVZiMGE8W?si=LgSb4-PGT1-mKx5sYO2lpg | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,16 Mar 2026,Indie,Indie / Folk / Rock,,,2026-03-25,
zoevi,"Perth, WA",favourite mistake,"Beabadoobee, Niki, Olivia Rodrigo, Keni Titus, Mariae Cassandra",https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,19 Mar 2026,Indie,Indie / Pop / Acoustic,,,2026-03-25,
mincy,"Sydney, NSW",Mincy x Tbish - 03 Baby,,https://www.instagram.com/mincy.aus/?hl=en | https://www.facebook.com/staymincy | https://twitter.com/mincy_aus | https://www.tiktok.com/@mincy.aus | https://open.spotify.com/artist/5KNUX2wDVlp2W9sukkgm2x | https://soundcloud.com/mincyaus | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,20 Mar 2026,Dance,Dance / Electronic,,,2026-03-25,
dj-duzza,"Sunshine Coast, QLD",Free The Vibe,"Fisher, James Hype,",https://www.instagram.com/dj_duzza/ | https://www.facebook.com/p/Djduzza-61567820316319/ | https://www.tiktok.com/@dj_duzza | https://open.spotify.com/artist/1eXeokZG6CSLU6hAvRJv8p?si=JE1cmnVpS9qotl0oIOa2jQ | https://soundcloud.com/dj_duzza | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,23 Mar 2026,Electronic,Electronic / Dance,,,2026-03-25,
baby-cool,"North Coast, NSW",Everything,"Nice Biscuit, Angel Olsen, Family Jordan, Aldous Harding, Julia Jacklin, Khruangbin, Patsy Cline",https://www.instagram.com/babycool.music/ | https://www.facebook.com/babycool.music | https://www.youtube.com/channel/UC1h4cfIndWbEzx3Dk6LwepQ | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,yes,19 Mar 2026,Folk,Folk / Experimental / Rock,,,2026-03-25,
keely-music,"Gold Coast,QLD",Yabbadabbadoo,"Jhené Aiko, Jazmine Sullivan, Destiny's Child, Kendrick Lamar, Snoh Aalegra, Lauryn Hill, SZA, Mahalia, Becca Hatch, Erykah Badu,",https://www.instagram.com/keelymusicofficial_/ | https://www.facebook.com/keelymusic/ | https://www.youtube.com/channel/UCKCjcQh1udRy-rQVzSrS0vw | https://soundcloud.com/keelzyweelzy | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,,,19 Mar 2026,R&B,R&B / Soul / Jazz,,,2026-03-25,
sophie-edwards,"Canberra, ACT",Better,"Vera Blue, Meg Mac, Julia Jacklin, Eliott, Lennon Stella, Holly Humberstone",https://www.instagram.com/sophieedwardsmusic/ | https://www.facebook.com/sophieedwardsmusic/?fref=ts | https://www.tiktok.com/@sophieedwardsmusic | https://www.youtube.com/watch?v=3QYMZLjzJxE | https://open.spotify.com/artist/0LUl94siaI9aJA5Fr3vfaA?si=mXZ1BwbWRFWf-Kq2oPH0vw | https://www.youtube.com/channel/UCd2KNtfphz8HvYzM4pwtHmg,,yes,,23 Feb 2026,Indie,Indie / Pop,,,2026-03-25,
